ZipcodesGeoid_PK,Total_Income,LessThanHighSchoolGraduate,HighSchoolGraduate,SomeCollegeOrAssociate,BachelorsDegree,GraduateOrProfessionalDegree
601,16533,11522,15606,13561,22859,36771
602,13682,8018,12037,13060,21037,26118
603,16022,9848,11884,15023,24438,32807
606,10861,6116,12798,13690,14466,0
610,15167,8367,14411,14419,21234,33125
612,18408,9974,15220,17038,23006,31581
616,16030,10657,14632,14830,20259,38688
617,17938,11738,14437,19556,20825,30788
622,22753,16250,16920,21089,19889,75450
623,18475,11220,13273,16473,23732,40479
624,15114,8566,12759,14684,21119,31554
627,16090,8728,14541,14440,23380,27492
631,13333,0,6979,16842,24605,0
637,17200,5962,14840,14954,26711,25260
638,16675,11744,14033,16084,24032,33780
641,15997,9562,13846,15745,22977,34485
646,23861,15649,16152,22269,32089,42008
647,12312,8527,12163,9417,19256,24900
650,16921,0,15615,18506,23842,38750
652,19284,0,19507,20645,18125,17885
653,14682,7813,12639,15268,20815,35833
656,14488,8881,12702,14458,23989,31336
659,16563,9375,11683,14716,23529,31702
660,16469,12303,13505,15454,21758,40133
662,16851,9439,13663,15263,24394,28100
664,16458,13100,15712,15038,28449,23403
667,15937,10465,13724,15385,25388,32244
669,17138,10941,15311,15725,26040,32745
670,14134,8209,15085,14231,20366,40343
674,19119,8495,15851,17082,26677,38536
676,14994,7369,12982,16041,19922,26786
677,12777,7382,11569,13327,15847,33207
678,14731,8877,12666,13369,23084,29444
680,15642,11489,12774,16063,19718,37554
682,15952,10524,11630,14940,22588,38438
683,15657,8042,13252,16257,21521,35598
685,15944,6771,13588,16779,23644,22563
687,16410,13678,14108,14929,23674,32436
688,16290,6959,14738,15619,21760,25350
690,25080,0,17050,20417,27263,38152
692,19107,15283,15830,18256,27211,41563
693,19744,16060,12565,18506,25538,32939
694,0,0,0,0,0,0
698,16532,12200,14051,14794,19573,31676
703,16176,11493,14716,16412,26766,22891
704,17500,5185,15739,17135,26860,23482
705,20070,13615,15456,18125,25435,30315
707,17506,7813,13407,22264,19482,35200
714,16673,10625,14806,17946,20305,26944
715,10717,11442,10231,0,7880,0
716,20386,7775,13682,18107,25378,41875
717,16441,15838,9589,15430,22563,29966
718,16973,9441,15383,17050,22044,30456
719,16961,12932,15232,16407,20255,33412
720,17703,17073,15680,16930,21620,29000
723,17374,7629,14587,16120,22340,27448
725,18975,10864,14947,16045,25358,38220
727,23277,13709,15456,19440,31756,41426
728,16187,10020,14406,14388,20583,30562
729,17400,12732,16140,17688,24091,34458
730,17252,9651,13840,15644,24055,40387
731,13581,9641,10503,14039,19541,44118
735,17101,12292,15616,17142,24931,32321
736,17876,10609,14602,17270,27525,30665
738,16767,11017,15515,16291,22517,31933
739,17457,10492,15853,18088,23032,33125
740,18021,0,16632,24839,30650,0
741,16204,15163,13625,16726,21906,39531
745,17733,12425,15293,18279,25881,34051
751,14724,8454,11932,16802,26304,37651
754,18446,12261,14279,17996,27351,32192
757,16804,4776,12517,20514,19618,32857
765,16730,14036,16196,18817,21827,0
766,15633,6250,12791,17152,21489,24594
767,16769,9936,14352,17217,22200,26580
769,16148,10267,12692,17704,21634,35449
771,17585,10741,14327,17688,30428,32271
772,15799,12188,14876,15131,24143,31016
773,17143,12711,15738,17687,23586,22965
775,15474,6894,15911,16563,28095,27679
777,17830,9107,15086,16466,26006,31376
778,23298,7403,15030,20865,35053,41582
780,20719,8511,10050,16801,24745,72500
782,15384,6250,12530,16932,21214,25119
783,16421,13172,14204,16867,21446,30106
784,18425,14222,15423,17007,23945,30964
786,24704,0,24704,0,0,0
791,17430,9648,15717,16615,24435,31460
794,17299,9484,15036,16620,23734,22038
795,17119,8571,14106,16528,23460,32848
901,21751,11750,11862,18250,27917,56107
906,60769,0,0,0,0,100577
907,24407,14564,16286,19529,34662,49786
909,15644,12946,14534,10262,23713,44000
911,25571,12917,15987,14813,31969,44931
912,17334,9639,14077,15871,24871,42031
913,17640,11450,9864,15368,30841,43529
915,13786,9916,14233,15897,20705,26806
917,15296,9666,12052,14939,25621,26157
918,27847,10093,15523,18078,35104,42428
920,18787,12081,15703,18157,22188,31546
921,18453,10871,15766,17230,24671,33958
923,16744,10135,15527,17938,26307,24811
924,18160,10469,14863,16296,24322,35293
925,12923,6171,9754,14844,21125,36149
926,25482,10223,15252,20124,31554,48264
927,30390,7314,16005,22053,26944,49409
934,58563,0,0,0,0,58563
936,21133,0,0,0,0,0
949,20244,11982,16122,19787,25506,33037
950,0,0,0,0,0,0
951,0,0,0,0,0,0
952,16180,8184,15070,16112,24275,31700
953,22857,10259,15847,20784,29054,44394
956,18294,11654,15745,17151,24085,31925
957,19456,13708,16591,17240,26088,35061
959,21193,13378,16154,17394,28008,35244
960,7500,5128,7388,18698,0,0
961,21916,8656,15221,17627,31508,38487
962,17553,12926,14888,17204,25437,35792
965,15794,15039,14194,16435,19524,26806
966,37127,8387,16613,23131,40561,60730
968,51219,108750,14485,37875,52070,62303
969,31996,11907,16731,21918,35734,52381
971,18545,13240,16779,16585,30897,40000
