"yearid","team_name","total_salary"
1985,"New York Yankees","1523487828"
1985,"Chicago Cubs","1486241289"
1985,"St. Louis Cardinals","1418049960"
1985,"Philadelphia Phillies","1295995648"
1985,"Detroit Tigers","1231429017"
1985,"Boston Red Sox","1220526720"
1985,"Pittsburgh Pirates","1190347500"
1985,"Chicago White Sox","1171695182"
1985,"Cincinnati Reds","1036629708"
1985,"Atlanta Braves","799578000"
1985,"Baltimore Orioles","763006992"
1985,"Cleveland Indians","687924930"
1985,"Los Angeles Dodgers","680010854"
1985,"New York Mets","628416196"
1985,"San Diego Padres","562865733"
1985,"Houston Astros","549617805"
1985,"San Francisco Giants","509746268"
1985,"Kansas City Royals","475380129"
1985,"Oakland Athletics","471047512"
1985,"California Angels","461692608"
1985,"Toronto Blue Jays","378939650"
1985,"Texas Rangers","368472000"
1985,"Montreal Expos","340925976"
1985,"Minnesota Twins","340124439"
1985,"Milwaukee Brewers","315954996"
1985,"Seattle Mariners","198359000"
1985,"Chicago White Stockings","177840838"
1985,"New York Highlanders","142382040"
1985,"Chicago Colts","101623336"
1985,"St. Louis Browns","82719581"
1985,"Cleveland Naps","78619992"
1985,"Boston Americans","76282920"
1985,"Philadelphia Quakers","70874762"
1985,"Chicago Orphans","63514585"
1985,"Cincinnati Redlegs","50159502"
1985,"Pittsburg Alleghenys","36910000"
1985,"Houston Colt .45's","29979153"
1985,"Philadelphia Blue Jays","20249932"
1985,"St. Louis Perfectos","11817083"
1985,"Cleveland Bronchos","6551666"
1985,"Cleveland Blues","6551666"
1986,"Chicago Cubs","2013355305"
1986,"New York Yankees","1978885071"
1986,"Boston Red Sox","1613050768"
1986,"Philadelphia Phillies","1483541248"
1986,"Cincinnati Reds","1476392112"
1986,"Detroit Tigers","1467949966"
1986,"Pittsburgh Pirates","1398811500"
1986,"Chicago White Sox","1239839461"
1986,"St. Louis Cardinals","1185001200"
1986,"Los Angeles Dodgers","924654112"
1986,"Atlanta Braves","923550444"
1986,"New York Mets","892835412"
1986,"Baltimore Orioles","858083028"
1986,"Cleveland Indians","819997500"
1986,"Kansas City Royals","665228598"
1986,"San Diego Padres","580415343"
1986,"San Francisco Giants","554714000"
1986,"Houston Astros","543030180"
1986,"Toronto Blue Jays","542275021"
1986,"Minnesota Twins","516141853"
1986,"Oakland Athletics","508529892"
1986,"California Angels","461672256"
1986,"Montreal Expos","399729600"
1986,"Texas Rangers","323669712"
1986,"Milwaukee Brewers","278421976"
1986,"Seattle Mariners","256207287"
1986,"Chicago White Stockings","240914310"
1986,"New York Highlanders","184942530"
1986,"Chicago Colts","137665320"
1986,"Boston Americans","100815673"
1986,"Cleveland Naps","93714000"
1986,"Chicago Orphans","86040825"
1986,"Philadelphia Quakers","81131162"
1986,"Cincinnati Redlegs","71438328"
1986,"St. Louis Browns","69125070"
1986,"Pittsburg Alleghenys","43374000"
1986,"Houston Colt .45's","29619828"
1986,"Philadelphia Blue Jays","23180332"
1986,"St. Louis Perfectos","9875010"
1986,"Cleveland Blues","7809500"
1986,"Cleveland Bronchos","7809500"
1987,"New York Yankees","1829669398"
1987,"Chicago Cubs","1674035883"
1987,"Philadelphia Phillies","1473821824"
1987,"Detroit Tigers","1442622839"
1987,"St. Louis Cardinals","1410960000"
1987,"Chicago White Sox","1266379317"
1987,"Cincinnati Reds","1150906000"
1987,"Boston Red Sox","1136146704"
1987,"Pittsburgh Pirates","987108000"
1987,"Baltimore Orioles","917418018"
1987,"Cleveland Indians","893943750"
1987,"Atlanta Braves","893406240"
1987,"Los Angeles Dodgers","847874986"
1987,"New York Mets","803109412"
1987,"Houston Astros","693460405"
1987,"Oakland Athletics","607403628"
1987,"Kansas City Royals","603230856"
1987,"San Diego Padres","564355596"
1987,"San Francisco Giants","451980000"
1987,"Toronto Blue Jays","450618543"
1987,"California Angels","410991968"
1987,"Minnesota Twins","377452500"
1987,"Montreal Expos","249913872"
1987,"Milwaukee Brewers","204210272"
1987,"Chicago White Stockings","200311986"
1987,"New York Highlanders","170997140"
1987,"Chicago Colts","114463992"
1987,"Cleveland Naps","102165000"
1987,"Seattle Mariners","97330500"
1987,"St. Louis Browns","82306000"
1987,"Philadelphia Quakers","80599631"
1987,"Chicago Orphans","71539995"
1987,"Boston Americans","71009169"
1987,"Cincinnati Redlegs","55689000"
1987,"Texas Rangers","42240000"
1987,"Houston Colt .45's","37825113"
1987,"Pittsburg Alleghenys","30608000"
1987,"Philadelphia Blue Jays","23028466"
1987,"St. Louis Perfectos","11758000"
1987,"Cleveland Blues","8513750"
1987,"Cleveland Bronchos","8513750"
1988,"New York Yankees","2080203264"
1988,"Philadelphia Phillies","1771264000"
1988,"Boston Red Sox","1556362304"
1988,"St. Louis Cardinals","1545600000"
1988,"Chicago Cubs","1534946166"
1988,"Detroit Tigers","1531478949"
1988,"Cincinnati Reds","1102162716"
1988,"Los Angeles Dodgers","1044731930"
1988,"Cleveland Indians","938332500"
1988,"Baltimore Orioles","893116950"
1988,"New York Mets","885620212"
1988,"Pittsburgh Pirates","773806500"
1988,"San Francisco Giants","767560000"
1988,"Chicago White Sox","760410000"
1988,"Kansas City Royals","742384662"
1988,"Minnesota Twins","735297294"
1988,"Atlanta Braves","687321396"
1988,"Houston Astros","675739185"
1988,"Toronto Blue Jays","526372675"
1988,"Oakland Athletics","503880000"
1988,"San Diego Padres","487611102"
1988,"California Angels","382316416"
1988,"Montreal Expos","345719988"
1988,"Seattle Mariners","315725350"
1988,"Texas Rangers","256422288"
1988,"Milwaukee Brewers","235256000"
1988,"New York Highlanders","194411520"
1988,"Chicago White Stockings","183668772"
1988,"Cleveland Naps","107238000"
1988,"Chicago Colts","104953584"
1988,"Boston Americans","97272644"
1988,"Philadelphia Quakers","96866000"
1988,"St. Louis Browns","90160000"
1988,"Chicago Orphans","65595990"
1988,"Cincinnati Redlegs","53330454"
1988,"Houston Colt .45's","36858501"
1988,"Philadelphia Blue Jays","27676000"
1988,"Pittsburg Alleghenys","23994000"
1988,"St. Louis Perfectos","12880000"
1988,"Cleveland Blues","8936500"
1988,"Cleveland Bronchos","8936500"
1989,"Boston Red Sox","1957955776"
1989,"St. Louis Cardinals","1929459960"
1989,"New York Yankees","1831238125"
1989,"Detroit Tigers","1802422076"
1989,"Pittsburgh Pirates","1643137500"
1989,"Cincinnati Reds","1372928000"
1989,"Philadelphia Phillies","1357312000"
1989,"Los Angeles Dodgers","1306436844"
1989,"Chicago Cubs","1248156000"
1989,"New York Mets","1153334118"
1989,"Cleveland Indians","954922500"
1989,"Kansas City Royals","952861968"
1989,"San Francisco Giants","927695708"
1989,"Minnesota Twins","916368294"
1989,"Chicago White Sox","864583790"
1989,"Houston Astros","826622500"
1989,"Oakland Athletics","811879640"
1989,"San Diego Padres","723945000"
1989,"Toronto Blue Jays","699251638"
1989,"Atlanta Braves","600066036"
1989,"Texas Rangers","570901488"
1989,"Baltimore Orioles","546161022"
1989,"Montreal Expos","497066004"
1989,"California Angels","483130656"
1989,"Seattle Mariners","420518500"
1989,"Milwaukee Brewers","322924000"
1989,"New York Highlanders","171143750"
1989,"Chicago White Stockings","149352000"
1989,"Boston Americans","122372236"
1989,"St. Louis Browns","112551831"
1989,"Cleveland Naps","109134000"
1989,"Chicago Colts","85344000"
1989,"Philadelphia Quakers","74228000"
1989,"Cincinnati Redlegs","66432000"
1989,"Chicago Orphans","53340000"
1989,"Pittsburg Alleghenys","50950000"
1989,"Houston Colt .45's","45088500"
1989,"Philadelphia Blue Jays","21208000"
1989,"St. Louis Perfectos","16078833"
1989,"Cleveland Blues","9094500"
1989,"Cleveland Bronchos","9094500"
1990,"St. Louis Cardinals","2462800080"
1990,"Boston Red Sox","2302533296"
1990,"New York Yankees","2237618026"
1990,"Detroit Tigers","2093595322"
1990,"Pittsburgh Pirates","2006724000"
1990,"Cincinnati Reds","1781880000"
1990,"Philadelphia Phillies","1686229376"
1990,"Chicago Cubs","1594008000"
1990,"Cleveland Indians","1521135000"
1990,"Los Angeles Dodgers","1321759648"
1990,"New York Mets","1259924372"
1990,"San Francisco Giants","1198790646"
1990,"Kansas City Royals","1191415284"
1990,"Chicago White Sox","1129488500"
1990,"Oakland Athletics","1034150052"
1990,"Houston Astros","1008150000"
1990,"San Diego Padres","897005034"
1990,"Minnesota Twins","861518000"
1990,"Atlanta Braves","785997054"
1990,"Toronto Blue Jays","763543862"
1990,"Texas Rangers","713969856"
1990,"California Angels","695040000"
1990,"Baltimore Orioles","638885544"
1990,"Montreal Expos","597109968"
1990,"Milwaukee Brewers","552136676"
1990,"Seattle Mariners","539807681"
1990,"New York Highlanders","209123180"
1990,"Chicago White Stockings","190736000"
1990,"Cleveland Naps","173844000"
1990,"Boston Americans","143908331"
1990,"St. Louis Browns","143663338"
1990,"Chicago Colts","108992000"
1990,"Philadelphia Quakers","92215669"
1990,"Cincinnati Redlegs","86220000"
1990,"Chicago Orphans","68120000"
1990,"Pittsburg Alleghenys","62224000"
1990,"Houston Colt .45's","54990000"
1990,"Philadelphia Blue Jays","26347334"
1990,"St. Louis Perfectos","20523334"
1990,"Cleveland Blues","14487000"
1990,"Cleveland Bronchos","14487000"
1991,"Boston Red Sox","3938760000"
1991,"Cincinnati Reds","3261861292"
1991,"Pittsburgh Pirates","3048872043"
1991,"New York Yankees","2925825976"
1991,"Philadelphia Phillies","2878378496"
1991,"Detroit Tigers","2836761627"
1991,"Chicago Cubs","2711553039"
1991,"St. Louis Cardinals","2623200120"
1991,"Los Angeles Dodgers","2033021168"
1991,"Chicago White Sox","2013440373"
1991,"Oakland Athletics","1923956684"
1991,"San Francisco Giants","1919995292"
1991,"New York Mets","1890220058"
1991,"Cleveland Indians","1851675000"
1991,"Minnesota Twins","1378348147"
1991,"Kansas City Royals","1342311534"
