"yearid","team_name","total_salary"
1985,"New York Yankees","1523487828"
1986,"Chicago Cubs","2013355305"
1987,"New York Yankees","1829669398"
1988,"New York Yankees","2080203264"
1989,"Boston Red Sox","1957955776"
1990,"St. Louis Cardinals","2462800080"
1991,"Boston Red Sox","3938760000"
1992,"Boston Red Sox","4884385408"
1993,"Cincinnati Reds","5565078584"
1994,"Cincinnati Reds","5079267292"
1995,"Chicago White Sox","5588392558"
1996,"New York Yankees","5798521744"
1997,"Chicago White Sox","6871060000"
1998,"New York Yankees","7148334769"
1999,"New York Yankees","9280576413"
2000,"New York Yankees","9880193820"
2001,"Boston Red Sox","12324013296"
2002,"New York Yankees","13474358381"
2003,"New York Yankees","16344230098"
2004,"New York Yankees","19708752650"
2005,"New York Yankees","22288829419"
2006,"New York Yankees","20828949453"
2007,"New York Yankees","20250717815"
2008,"New York Yankees","22244956423"
2009,"New York Yankees","21555063223"
2010,"New York Yankees","22077672623"
2011,"Philadelphia Phillies","22140976512"
2012,"Philadelphia Phillies","22340984064"
2013,"New York Yankees","24821740802"
2014,"Philadelphia Phillies","23160955776"
2015,"New York Yankees","22764459399"
2016,"New York Yankees","23860763744"
