"yearid","player_name","total_salary","total_games_started","cost_per_game_started"
1985,"Steven Norman","1075000","16","67187.5"
1986,"George Thomas","1132652","12","94387.66666666667"
1987,"Neil Patrick","1250000","10","125000"
1988,"Fernando","2050000","22","93181.81818181818"
1989,"Dwight Eugene","2416667","17","142156.88235294117"
1990,"Mark Steven","2066667","16","129166.6875"
1991,"Daniel Wayne","3250000","12","270833.3333333333"
1992,"David Andrew","3250000","14","232142.85714285713"
1993,"Lynn Nolan","3757000","13","289000"
1994,"Harry Ralston","3250000","10","325000"
1995,"David Brian","8000000","17","470588.23529411765"
1996,"David Brian","4666667","11","424242.45454545453"
1997,"William Charles","4608333","13","354487.1538461539"
1998,"James Edward","5390825","11","490075"
1999,"Todd Vernon","8000000","17","470588.23529411765"
2000,"Sterling Alex","6100000","11","554545.4545454546"
2001,"James Kevin","15714286","19","827067.6842105263"
2002,"James Kevin","15714286","10","1571428.6"
2003,"Darren James","12400000","10","1240000"
2004,"Chan Ho","14000000","16","875000"
2005,"Curtis Montague","14500000","11","1318181.8181818181"
2006,"Bartolo","14000000","10","1400000"
2007,"Randall David","9100546","10","910054.6"
2008,"Michael William","15975184","13","1228860.3076923077"
2009,"Brett Allen","12083333","10","1208333.3"
2010,"Carlos Alberto","18875000","20","943750"
2011,"Jorge Alberto","10000000","10","1000000"
2012,"Johan Alexander","23145011","21","1102143.380952381"
2013,"Harry Leroy","20000000","13","1538461.5384615385"
2014,"Clifton Phifer","25000000","13","1923076.923076923"
2015,"Matthew Thomas","21000000","11","1909090.9090909092"
2016,"James Anthony","21000000","11","1909090.9090909092"
