"yearid","team_name","total_salary","wins","cost_per_win"
2010,"San Diego Padres","37799300",90,"419992.22222222225"
2010,"Pittsburgh Pirates","34943000",57,"613035.0877192982"
2010,"Texas Rangers","55250544",90,"613894.9333333333"
2010,"Oakland Athletics","55254900",81,"682159.2592592592"
2010,"Florida Marlins","57029719",80,"712871.4875"
2010,"Toronto Blue Jays","62234000",85,"732164.7058823529"
2010,"Tampa Bay Rays","71923471",96,"749202.8229166666"
2010,"Cincinnati Reds","71761542",91,"788588.3736263736"
2010,"Cleveland Indians","61203966",69,"887014"
2010,"Washington Nationals","61400000",69,"889855.0724637681"
2010,"Atlanta Braves","84423666",91,"927732.5934065934"
2010,"Arizona Diamondbacks","60718166",65,"934125.6307692308"
2010,"Colorado Rockies","84227000",83,"1014783.1325301204"
2010,"Minnesota Twins","97559166",94,"1037863.4680851063"
2010,"Milwaukee Brewers","81108278",77,"1053354.2597402597"
2010,"Kansas City Royals","71405210",67,"1065749.4029850746"
2010,"San Francisco Giants","98641333",92,"1072188.402173913"
2010,"St. Louis Cardinals","93540751",86,"1087683.1511627906"
2010,"Los Angeles Dodgers","95358016",80,"1191975.2"
2010,"Chicago White Sox","105530000",88,"1199204.5454545454"
2010,"Houston Astros","92355500",76,"1215203.9473684211"
2010,"Baltimore Orioles","81612500",66,"1236553.0303030303"
2010,"Los Angeles Angels of Anaheim","104963866",80,"1312048.325"
2010,"Seattle Mariners","86510000",61,"1418196.7213114754"
2010,"Philadelphia Phillies","141928379",97,"1463179.1649484537"
2010,"Detroit Tigers","122864928",81,"1516850.962962963"
2010,"New York Mets","134422942",79,"1701556.2278481012"
2010,"Boston Red Sox","162447333",89,"1825250.9325842697"
2010,"Chicago Cubs","146609000",75,"1954786.6666666667"
2010,"New York Yankees","206333389",95,"2171930.4105263157"
