"yearid","category","name","votes"
1936,"Player","Tyrus Raymond",222
1937,"Manager","Cornelius Alexander",NULL
1937,"Pioneer/Executive","Byron Bancroft",NULL
1937,"Player","Napoleon",168
1938,"Manager","Miller James",48
1938,"Pioneer/Executive","Henry",NULL
1938,"Player","Grover Cleveland",212
1939,"Manager","Miller James",97
1939,"Pioneer/Executive","Albert Goodwill",NULL
1939,"Player","Henry Louis",NULL
1942,"Manager","Miller James",111
1942,"Pioneer/Executive","Clark Calvin",71
1942,"Player","Rogers",182
1944,"Pioneer/Executive","Kenesaw Mountain",NULL
1945,"Manager","Wilbert",NULL
1945,"Pioneer/Executive","Clark Calvin",108
1945,"Player","Hugh",NULL
1946,"Player","Frank Leroy",NULL
1947,"Manager","Joseph Vincent",2
1947,"Player","Carl Owen",140
1948,"Manager","Miller James",4
1948,"Player","Herbert Jefferis",94
1949,"Player","Charles Augustus",NULL
1950,"Manager","Stanley Raymond",4
1950,"Player","Melvin Thomas",115
1951,"Manager","Stanley Raymond",9
1951,"Player","Melvin Thomas",197
1952,"Manager","Charles Dillon",27
1952,"Player","Harry Edwin",203
1953,"Manager","Charles Dillon",61
1953,"Pioneer/Executive","William Henry",NULL
1953,"Player","Roderick John",NULL
1953,"Umpire","William Joseph",NULL
1954,"Player","Walter James Vincent",209
1955,"Player","John Franklin",NULL
1956,"Manager","Alfonso Ramon",1
1956,"Player","Henry Benjamin",164
1957,"Manager","Joseph Vincent",NULL
1957,"Player","Samuel Earl",NULL
1958,"Manager","Stanley Raymond",45
1958,"Player","Max George",136
1959,"Player","Zachariah Davis",NULL
1960,"Manager","Stanley Raymond",31
1960,"Player","Edd J.",146
1961,"Player","William Robert",NULL
1962,"Manager","William Boyd",NULL
1962,"Player","Edd J.",NULL
1963,"Player","Elmer Harrison",NULL
1964,"Manager","Miller James",NULL
1964,"Player","Burleigh Arland",NULL
1965,"Player","James Francis",NULL
1966,"Manager","Charles Dillon",NULL
1966,"Player","Theodore Samuel",282
1967,"Pioneer/Executive","Wesley Branch",NULL
1967,"Player","Lloyd James",NULL
1968,"Player","Hazen Shirley",NULL
1969,"Player","Stanley Anthony",NULL
1970,"Pioneer/Executive","Ford Christopher",NULL
1970,"Player","Jesse Joseph",NULL
1971,"Pioneer/Executive","George",NULL
1971,"Player","Leroy Robert",NULL
1972,"Pioneer/Executive","William",NULL
1972,"Player","Vernon Louis",NULL
1973,"Player","Monford Merrill",NULL
1973,"Umpire","William George",NULL
1974,"Player","Samuel Luther",NULL
1974,"Umpire","John Bertrand",NULL
1975,"Manager","Stanley Raymond",NULL
1975,"Player","William Jennings Bryan",NULL
1976,"Player","Frederick Charles",NULL
1976,"Umpire","Robert Calvin",NULL
1977,"Manager","Alfonso Ramon",NULL
1977,"Player","John Henry",NULL
1978,"Pioneer/Executive","Leland Stanford",NULL
1978,"Player","Adrian",NULL
1979,"Pioneer/Executive","Warren Crandall",NULL
1979,"Player","Lewis Robert",NULL
1980,"Pioneer/Executive","Thomas Austin",NULL
1980,"Player","Charles Herbert",NULL
1981,"Manager","Andrew Bishop",NULL
1981,"Player","John Robert",NULL
1982,"Pioneer/Executive","Albert Benjamin",NULL
1982,"Player","Travis Calvin",NULL
1983,"Manager","Walter Emmons",NULL
1983,"Player","George Clyde",NULL
1984,"Player","Richard Benjamin",NULL
1985,"Player","Enos Bradsher",NULL
1986,"Player","Robert Pershing",NULL
1987,"Player","Raymond Emmett",NULL
1988,"Player","Wilver Dornel",352
1989,"Player","Albert Fred",NULL
1989,"Umpire","Albert Joseph",NULL
1990,"Player","James Alvin",411
1991,"Pioneer/Executive","William Louis",NULL
1991,"Player","Anthony Michael",NULL
1992,"Player","Harold",NULL
1992,"Umpire","William Aloysius",NULL
1993,"Player","Reginald Martinez",396
1994,"Manager","Leo Ernest",NULL
1994,"Player","Philip Francis",NULL
1995,"Pioneer/Executive","William A.",NULL
1995,"Player","Leon",NULL
1996,"Manager","Edward Hugh",NULL
1996,"Player","William Hendrick",NULL
1997,"Manager","Thomas Charles",NULL
1997,"Player","Jacob Nelson",NULL
1998,"Pioneer/Executive","Leland Stanford",NULL
1998,"Player","Lawrence Eugene",NULL
1999,"Manager","Frank Gibson",NULL
1999,"Player","Orlando Manuel",NULL
1999,"Umpire","Nestor George",NULL
2000,"Manager","George Lee",NULL
2000,"Player","John Alexander",NULL
2001,"Player","Hilton Lee",NULL
2002,"Player","Osborne Earl",433
2003,"Player","Eddie Clarence",423
2004,"Player","Paul Leo",431
2005,"Player","Wade Anthony",474
2006,"Pioneer/Executive","James Leslie",NULL
2006,"Player","Willard Jessie",NULL
2007,"Player","Calvin Edwin",537
2008,"Manager","Richard Hirschfeld",NULL
2008,"Pioneer/Executive","Walter Francis",NULL
2008,"Player","Richard Michael",466
2009,"Player","Joseph Lowell",NULL
2010,"Manager","Dorrel Norman Elvert",NULL
2010,"Player","Andre Nolan",420
2010,"Umpire","Harold Douglas",NULL
2011,"Pioneer/Executive","Lawrence Patrick D.",NULL
2011,"Player","Roberto",523
2012,"Player","Ronald Edward",NULL
2013,"Pioneer/Executive","Jacob",NULL
2013,"Player","James Laurie",NULL
2013,"Umpire","Henry M.",NULL
2014,"Manager","Robert Joe",NULL
2014,"Player","Gregory Alan",555
2015,"Player","Randall David",534
2016,"Player","George Kenneth",437
2017,"Pioneer/Executive","John",NULL
2017,"Player","Jeffrey Robert",381
2018,"Player","Alan Stuart",NULL
